creator_id,content_vertical,region,tenure_days,live_sessions_28d,avg_session_min,avg_concurrent_viewers,total_watch_time_hrs_28d,new_followers_28d,follower_base,follower_growth_rate_28d,unique_gifters_28d,diamonds_28d,repeat_gifter_rate,comments_per_session,community_guideline_strikes_90d,est_monthly_revenue_usd,days_since_last_live,R_score,F_score,M_score,RFM_score,cluster,segment,high_potential,high_potential_proba
C100338,Music & Dance,Italy,612,11,58.94538315241665,202.8786890191734,2192.4,126,2968,0.0425,2,457.0,0.432,6.4,0,2.28,12,1,4,2,7,0,High-Reach Veterans,0,0.022301823158802487
C100339,Gaming,Spain,435,7,71.45126341902777,31.977412048188132,266.6,26,408,0.0637,5,1349.0,0.102,50.2,0,6.74,1,4,1,4,9,3,Steady Core,0,0.08107887282356108
C100340,Music & Dance,Spain,275,10,97.3957137092778,102.65024362196466,1666.3,30,182,0.1648,2,2553.0,0.355,52.6,0,12.76,1,4,3,5,12,4,Star Creators,0,0.34373748210212607
C100341,Music & Dance,Germany,715,14,31.077233554862538,167.2848071981095,1213.0,84,3579,0.0235,14,991.0,0.338,44.4,0,4.96,4,2,5,4,11,0,High-Reach Veterans,0,0.013756335315296615
C100342,Beauty & Fashion,Spain,543,10,7.686866722728961,87.99762969990948,112.7,111,825,0.1345,2,927.0,0.292,26.0,0,4.64,3,2,3,4,9,1,At Risk / Dormant,0,0.010834561229745259
C100343,Music & Dance,Germany,154,6,56.40433046452763,134.0132480401382,755.9,66,685,0.0964,3,286.0,0.243,6.0,0,1.43,8,1,1,1,3,1,At Risk / Dormant,0,0.09675286676260532
C100344,Music & Dance,UK,124,11,76.90445233880246,43.83754733177406,618.1,48,219,0.2192,3,547.0,0.356,50.0,0,2.74,1,4,4,2,10,3,Steady Core,0,0.3254829806773623
C100345,Education/Talk,Italy,373,9,51.92588445617202,34.841524959761884,271.4,38,275,0.1382,2,289.0,0.605,69.9,2,1.44,4,2,2,1,5,1,At Risk / Dormant,0,0.42572244610272847
C100346,Education/Talk,Spain,72,10,65.00472615225013,23.616688325035337,255.9,33,70,0.4714,0,266.0,0.454,10.4,0,1.33,11,1,3,1,5,2,Rising Talent,0,0.5580329067133696
C100347,Gaming,Germany,376,10,37.94123992916185,180.60528685161,1142.1,44,151,0.2914,5,604.0,0.453,24.5,0,3.02,0,5,3,3,11,3,Steady Core,1,0.6576570312677653
C100348,Music & Dance,France,181,9,33.613298424424,100.34716064784133,505.9,20,66,0.303,5,1875.0,0.145,71.6,0,9.38,1,4,2,5,11,3,Steady Core,0,0.53887104496872
C100349,Education/Talk,Spain,594,10,40.40469247212166,140.82320382581673,948.3,66,1114,0.0592,8,1816.0,0.599,21.8,0,9.08,2,3,3,5,11,4,Star Creators,0,0.02591998683734783
C100350,Music & Dance,Poland,501,9,39.05421284634568,140.30603511470372,821.9,249,5194,0.0479,7,758.0,0.349,45.4,0,3.79,0,5,2,3,10,3,Steady Core,0,0.02523811906450707
C100351,Comedy & Lifestyle,UK,120,12,51.68837186812093,45.54089379864142,470.8,14,50,0.28,2,465.0,0.273,7.7,0,2.33,0,5,4,2,11,3,Steady Core,0,0.2108934083480326
C100352,Education/Talk,UK,117,3,54.501168337057614,21.027495149040764,57.3,15,85,0.1765,3,147.0,0.497,34.1,0,0.74,1,4,1,1,6,3,Steady Core,0,0.25026648951937697
C100353,Beauty & Fashion,France,445,8,50.721254968578286,34.022272842267355,230.1,46,1209,0.038,10,1494.0,0.164,10.6,0,7.47,0,5,2,5,12,3,Steady Core,0,0.047168385187029156
C100354,Gaming,Germany,721,12,51.19066807447902,166.3641558148555,1703.3,133,4096,0.0325,10,2301.0,0.488,32.1,0,11.5,1,4,4,5,13,4,Star Creators,0,0.028373533109076737
C100355,Education/Talk,Spain,153,8,42.55606839014244,38.32203871102916,217.4,5,50,0.1,1,233.0,0.585,20.1,0,1.16,1,4,2,1,7,3,Steady Core,0,0.10729112680617779
C100356,Gaming,Germany,41,8,56.29968040651527,25.274992175954328,189.7,34,50,0.68,3,408.0,0.132,24.4,0,2.04,7,1,2,2,5,2,Rising Talent,1,0.8409882569076101
C100357,Education/Talk,UK,315,8,6.110633523730098,62.46280369695001,50.9,26,74,0.3514,3,418.0,0.177,27.5,0,2.09,3,2,2,2,6,2,Rising Talent,0,0.1443659539409373
C100358,Cooking & Food,Germany,544,11,36.25063322075867,182.76162991176048,1214.6,91,2590,0.0351,6,435.0,0.34,19.9,2,2.18,9,1,4,2,7,1,At Risk / Dormant,0,0.020189660906274606
C100359,Music & Dance,UK,20,11,46.5233221148238,53.37333039509867,455.2,24,50,0.48,3,247.0,0.136,119.3,0,1.24,0,5,4,1,10,2,Rising Talent,1,0.894305565366817
C100360,Music & Dance,Germany,380,10,49.65506772144533,286.27043836767746,2369.1,35,491,0.0713,7,1434.0,0.291,51.1,0,7.17,0,5,3,5,13,0,High-Reach Veterans,1,0.480559769943749
C100361,Education/Talk,France,563,10,37.05421148680519,137.06379780154515,846.5,17,137,0.1241,5,948.0,0.494,62.3,0,4.74,1,4,3,4,11,4,Star Creators,0,0.09807765268667298
C100362,Music & Dance,Italy,434,10,53.92118212250151,581.5351506916617,5226.2,96,862,0.1114,12,2828.0,0.386,80.8,0,14.14,0,5,3,5,13,0,High-Reach Veterans,1,0.8312620803744672
C100363,Music & Dance,France,239,16,34.2952430300867,91.77839140954772,839.3,32,438,0.0731,3,48.0,0.08,48.6,0,0.24,8,1,5,1,7,1,At Risk / Dormant,0,0.06307866676891354
C100364,Cooking & Food,France,711,17,49.34570886971422,111.44126126877698,1558.1,53,1399,0.0379,8,408.0,0.564,30.0,0,2.04,0,5,5,2,12,4,Star Creators,0,0.020845302367087117
C100365,Music & Dance,Italy,569,13,54.73617065956275,126.01309614477748,1494.5,33,1244,0.0265,9,3932.0,0.371,29.5,0,19.66,0,5,5,5,15,4,Star Creators,0,0.027178782340005696
C100366,Cooking & Food,Italy,669,9,35.397273474845015,64.27087472440965,341.3,86,3940,0.0218,5,1368.0,0.368,54.2,2,6.84,6,1,2,4,7,1,At Risk / Dormant,0,0.03278702244167155
C100367,Cooking & Food,Spain,446,15,23.31038886843529,61.002901760250154,355.5,96,2418,0.0397,7,224.0,0.173,26.9,0,1.12,4,2,5,1,8,1,At Risk / Dormant,0,0.03076310613725077
C100368,Beauty & Fashion,Spain,508,6,47.22975327811858,290.93216882789574,1374.1,54,652,0.0828,9,746.0,0.67,16.0,0,3.73,0,5,1,3,9,0,High-Reach Veterans,0,0.07297267171730212
C100369,Gaming,France,281,5,45.719874572900835,52.34272348667623,199.4,21,130,0.1615,2,881.0,0.589,13.3,0,4.4,2,3,1,4,8,1,At Risk / Dormant,0,0.14496013243905492
C100370,Gaming,France,82,7,28.401298916335502,55.69579942195597,184.5,53,102,0.5196,4,155.0,0.266,32.4,0,0.78,2,3,1,1,5,2,Rising Talent,1,0.6905267102160906
C100371,Gaming,UK,445,12,40.98009223656171,101.48432071632216,831.8,20,602,0.0332,7,1752.0,0.336,40.6,0,8.76,1,4,4,5,13,4,Star Creators,0,0.1227915348899009
C100372,Gaming,UK,705,16,53.32348714634231,93.62936027601067,1331.4,60,1202,0.0499,17,975.0,0.457,87.7,0,4.88,0,5,5,4,14,4,Star Creators,0,0.0421123451420037
C100373,Education/Talk,Spain,295,7,47.60096339052712,51.63948779160455,286.8,80,1198,0.0668,3,281.0,0.526,33.9,0,1.4,6,1,1,1,3,1,At Risk / Dormant,0,0.15052185744037436
C100374,Gaming,Poland,546,12,50.76616142054679,95.2116816929622,966.7,47,1694,0.0277,8,2626.0,0.39,33.4,0,13.13,1,4,4,5,13,4,Star Creators,0,0.012825255574701242
C100375,Beauty & Fashion,Poland,698,8,36.38797087611616,176.80329195385326,857.8,19,764,0.0249,5,856.0,0.452,31.8,0,4.28,2,3,2,4,9,0,High-Reach Veterans,0,0.02783754006030549
C100376,Comedy & Lifestyle,Spain,259,12,57.94538694945771,168.29284650055044,1950.4,42,481,0.0873,4,1044.0,0.594,11.0,0,5.22,8,1,4,4,9,0,High-Reach Veterans,0,0.20088807322917998
C100377,Gaming,UK,132,6,64.28033706860899,19.090134910788972,122.7,62,150,0.4133,0,622.0,0.069,40.7,0,3.11,1,4,1,3,8,2,Rising Talent,0,0.34457336028968183
C100378,Comedy & Lifestyle,UK,183,9,52.96881512040307,185.04974944888184,1470.3,20,68,0.2941,3,848.0,0.09,44.5,0,4.24,0,5,2,4,11,3,Steady Core,0,0.3247835165727072
C100379,Beauty & Fashion,Poland,43,4,26.188230877164393,61.61309893672618,107.6,14,50,0.28,2,314.0,0.148,27.1,0,1.57,8,1,1,2,4,1,At Risk / Dormant,0,0.25919365582124726
C100380,Gaming,Germany,416,10,22.95488908877068,146.1807983233831,559.3,92,2510,0.0367,5,1124.0,0.496,25.4,0,5.62,2,3,3,4,10,4,Star Creators,0,0.26168225771605713
C100381,Education/Talk,Germany,617,12,29.52499384496871,59.15920621236623,349.3,2,77,0.026,7,1600.0,0.206,21.3,0,8.0,2,3,4,5,12,4,Star Creators,0,0.0047724455976384215
C100382,Education/Talk,UK,616,14,70.73533634161595,446.25157859246326,7365.3,145,1628,0.0891,5,856.0,0.469,38.6,0,4.28,3,2,5,4,11,0,High-Reach Veterans,0,0.06765065941408142
C100383,Comedy & Lifestyle,Germany,133,8,45.10925451352185,28.392333745380448,170.8,16,54,0.2963,5,220.0,0.084,21.9,0,1.1,0,5,2,1,8,3,Steady Core,0,0.14053913022739686
C100384,Comedy & Lifestyle,Italy,489,10,76.93112152483015,107.78396582183657,1382.0,11,235,0.0468,6,602.0,0.51,29.9,0,3.01,5,2,3,3,8,1,At Risk / Dormant,0,0.03236625357907116
C100385,Comedy & Lifestyle,Spain,174,9,38.17657857311672,75.04909986492608,429.8,25,160,0.1562,1,800.0,0.173,57.6,0,4.0,1,4,2,3,9,3,Steady Core,0,0.1928151570718772
C100386,Beauty & Fashion,Spain,598,16,31.117794942606178,271.0869632386359,2249.5,93,857,0.1085,11,753.0,0.196,57.3,0,3.76,1,4,5,3,12,0,High-Reach Veterans,0,0.03917597992127985
C100387,Beauty & Fashion,UK,300,11,33.88915195033889,35.06826580256606,217.9,30,274,0.1095,13,194.0,0.35,14.8,0,0.97,3,2,4,1,7,1,At Risk / Dormant,0,0.18194110137149355
C100388,Comedy & Lifestyle,France,644,12,38.659997119080515,132.0448994097587,1021.0,23,974,0.0236,9,1137.0,0.498,24.0,0,5.68,5,2,4,4,10,4,Star Creators,0,0.01417840259986051
C100389,Comedy & Lifestyle,Poland,349,9,26.904521770281754,18.145349823327305,73.2,82,1876,0.0437,3,383.0,0.263,16.3,0,1.92,5,2,2,2,6,1,At Risk / Dormant,0,0.03152655537875551
C100390,Cooking & Food,UK,316,8,16.87891217862485,63.67171867503007,143.3,36,477,0.0755,3,602.0,0.24,24.3,1,3.01,0,5,2,3,10,3,Steady Core,0,0.02601035138527804
C100391,Music & Dance,Germany,668,15,55.27606423002683,172.86532825656778,2388.8,13,403,0.0323,13,1017.0,0.471,57.2,0,5.08,5,2,5,4,11,0,High-Reach Veterans,0,0.02345270800471319
C100392,Music & Dance,Poland,534,4,66.0705639931486,73.70324694028024,324.6,73,841,0.0868,16,1591.0,0.386,30.3,0,7.96,4,2,1,5,8,1,At Risk / Dormant,0,0.017096340967930123
C100393,Comedy & Lifestyle,France,546,8,82.42592743649543,28.19602829303734,309.9,16,462,0.0346,6,2726.0,0.215,38.4,0,13.63,3,2,2,5,9,1,At Risk / Dormant,0,0.029095386898694463
C100394,Beauty & Fashion,Germany,425,8,28.494306399634663,236.21742801002662,897.4,148,716,0.2067,3,2884.0,0.082,30.2,0,14.42,13,1,2,5,8,0,High-Reach Veterans,0,0.12691105157938573
C100395,Cooking & Food,Italy,450,8,28.224659312186933,30.08894801902586,113.2,53,513,0.1033,6,542.0,0.212,32.7,0,2.71,1,4,2,2,8,3,Steady Core,0,0.010937770808433844
C100396,Comedy & Lifestyle,Germany,691,16,26.94629467071995,52.41829827062971,376.7,34,201,0.1692,14,1121.0,0.645,51.7,0,5.6,4,2,5,4,11,4,Star Creators,0,0.03645537962170638
C100397,Music & Dance,Italy,564,9,67.45168487278457,65.99823881423859,667.8,28,496,0.0565,15,1525.0,0.395,100.2,0,7.62,3,2,2,5,9,1,At Risk / Dormant,0,0.07859553357495935
C100398,Comedy & Lifestyle,Poland,242,7,54.308533595235566,153.33681352465507,971.5,36,518,0.0695,4,298.0,0.061,39.8,0,1.49,1,4,1,1,6,3,Steady Core,0,0.09337037850330407
C100399,Comedy & Lifestyle,Italy,445,11,25.122878462664417,83.11062183338221,382.8,130,3901,0.0333,5,182.0,0.478,19.3,0,0.91,6,1,4,1,6,1,At Risk / Dormant,0,0.12224651181539384
C100400,Gaming,Poland,220,9,25.76043443448702,15.747043775166055,60.8,20,213,0.0939,4,1629.0,0.166,29.2,0,8.14,2,3,2,5,10,4,Star Creators,0,0.06299455927131951
C100401,Cooking & Food,Poland,91,14,46.82333530999154,24.077530198980366,263.1,19,91,0.2088,3,683.0,0.547,23.5,0,3.42,3,2,5,3,10,4,Star Creators,0,0.16030799917392413
C100402,Music & Dance,Poland,91,6,52.97232494856395,129.75763536869314,687.4,30,65,0.4615,2,149.0,0.068,22.3,0,0.74,3,2,1,1,4,2,Rising Talent,1,0.4292903973998662
C100403,Comedy & Lifestyle,Poland,495,6,53.33220529944223,28.65857224361082,152.8,43,842,0.0511,2,1890.0,0.352,37.6,0,9.45,2,3,1,5,9,1,At Risk / Dormant,0,0.017842952216236704
C100404,Beauty & Fashion,Poland,71,9,21.758472824916307,16.8249497381543,54.9,6,50,0.12,2,440.0,0.049,86.1,0,2.2,2,3,2,2,7,3,Steady Core,0,0.32298817832243665
C100405,Cooking & Food,Germany,652,10,6.492420689279554,39.647973884275984,42.9,67,1668,0.0402,5,1076.0,0.284,42.1,1,5.38,0,5,3,4,12,4,Star Creators,0,0.008214993048933306
C100406,Music & Dance,Poland,669,11,28.438182174736685,123.42784469271099,643.5,38,344,0.1105,15,3267.0,0.61,23.8,0,16.34,1,4,4,5,13,4,Star Creators,0,0.054547703055834076
C100407,Gaming,Germany,633,11,54.37980114020208,126.36778010952892,1259.8,49,1639,0.0299,7,1056.0,0.469,41.9,0,5.28,0,5,4,4,13,4,Star Creators,0,0.0352855599113654
C100408,Cooking & Food,Poland,70,10,63.3325761955472,33.558757424452004,354.2,64,96,0.6667,2,249.0,0.403,18.2,0,1.25,5,2,3,1,6,2,Rising Talent,1,0.8533134573022384
C100409,Gaming,Italy,349,7,34.26964818850305,75.89382734874802,303.4,35,172,0.2035,5,1999.0,0.595,49.1,0,10.0,5,2,1,5,8,1,At Risk / Dormant,0,0.4149086664919955
C100410,Beauty & Fashion,Poland,358,5,69.13783822815299,25.549265585850687,147.2,4,53,0.0755,4,107.0,0.712,12.0,0,0.54,4,2,1,1,4,1,At Risk / Dormant,0,0.18642471911118919
C100411,Cooking & Food,France,164,10,45.07493168675655,40.347562749234456,303.1,22,50,0.44,3,151.0,0.434,129.2,0,0.76,9,1,3,1,5,2,Rising Talent,1,0.9137383300842354
C100412,Cooking & Food,Poland,595,13,13.399289700649225,72.07238250970605,209.2,55,1510,0.0364,10,1660.0,0.177,66.1,0,8.3,1,4,5,5,14,4,Star Creators,0,0.009950937658705982
C100413,Music & Dance,Poland,497,7,49.67365983731512,46.535843267549666,269.7,81,1884,0.043,17,2490.0,0.194,12.5,0,12.45,6,1,1,5,7,1,At Risk / Dormant,0,0.012325115665544156
C100414,Education/Talk,Italy,664,10,52.755575593795704,268.4910149271004,2360.7,76,1195,0.0636,5,362.0,0.266,41.5,0,1.81,0,5,3,2,10,0,High-Reach Veterans,0,0.04005358494738569
C100415,Music & Dance,Spain,469,10,5.0,224.25615836541684,186.9,59,1836,0.0321,20,2177.0,0.416,59.7,0,10.88,0,5,3,5,13,0,High-Reach Veterans,0,0.02985342131707986
C100416,Beauty & Fashion,Italy,231,5,44.66676736870073,18.25568896117985,68.0,41,548,0.0748,4,1111.0,0.047,31.2,0,5.56,0,5,1,4,10,3,Steady Core,0,0.0494482760394936
C100417,Beauty & Fashion,France,319,8,52.59081769734669,91.2830818915592,640.1,67,316,0.212,8,860.0,0.191,36.7,2,4.3,3,2,2,4,8,1,At Risk / Dormant,0,0.20011701331553808
C100418,Education/Talk,Spain,621,15,45.081324048163864,135.8692933027564,1531.3,16,529,0.0302,6,724.0,0.494,62.8,0,3.62,6,1,5,3,9,1,At Risk / Dormant,0,0.02847246540858506
C100419,Comedy & Lifestyle,UK,472,10,39.18530911574545,108.63989953181398,709.5,184,2562,0.0718,10,570.0,0.428,51.1,0,2.85,6,1,3,3,7,1,At Risk / Dormant,0,0.04025642119851363
C100420,Comedy & Lifestyle,UK,94,6,37.267016443225735,41.83470208395366,155.9,17,85,0.2,2,249.0,0.341,19.7,0,1.25,2,3,1,1,5,3,Steady Core,0,0.0746303835303913
C100421,Comedy & Lifestyle,France,309,6,36.25968984731606,86.66571275398863,314.2,15,261,0.0575,7,124.0,0.362,100.9,0,0.62,0,5,1,1,7,3,Steady Core,1,0.7431445495889349
C100422,Gaming,Italy,686,11,20.832363532192034,103.82546543395812,396.5,87,1035,0.0841,21,877.0,0.394,28.6,0,4.38,0,5,4,4,13,4,Star Creators,0,0.06256703189769566
C100423,Music & Dance,Germany,441,11,32.093285277853134,56.97642589599663,335.2,39,827,0.0472,11,1310.0,0.302,20.4,0,6.55,9,1,4,4,9,1,At Risk / Dormant,0,0.05735971143046096
C100424,Gaming,France,688,7,34.50130717826112,166.43752817907105,669.9,123,5096,0.0241,14,368.0,0.401,43.2,0,1.84,0,5,1,2,8,3,Steady Core,0,0.024606769620388894
C100425,Music & Dance,Spain,141,9,47.71313975140197,9.197294112060982,65.8,17,66,0.2576,1,954.0,0.349,98.1,0,4.77,6,1,2,4,7,1,At Risk / Dormant,0,0.5925927085325786
C100426,Music & Dance,Spain,56,6,34.64211222568721,87.17714744486749,302.0,43,50,0.86,3,389.0,0.267,48.3,0,1.94,0,5,1,2,8,2,Rising Talent,1,0.9473620257974082
C100427,Cooking & Food,Poland,438,13,20.864908294404497,72.67434053962484,328.5,19,82,0.2317,7,704.0,0.553,70.5,0,3.52,0,5,5,3,13,4,Star Creators,0,0.3670845050843685
C100428,Beauty & Fashion,UK,346,10,46.39656288688768,48.10373302159556,372.0,131,673,0.1947,7,1144.0,0.34,57.8,0,5.72,0,5,3,4,12,4,Star Creators,0,0.3954592162415418
C100429,Gaming,Spain,353,9,48.6710514950614,134.3100072825621,980.6,41,122,0.3361,1,595.0,0.23,26.3,0,2.98,1,4,2,3,9,3,Steady Core,0,0.2519924008823478
C100430,Gaming,France,652,11,32.29386833778779,137.89287881562547,816.4,164,2986,0.0549,12,1580.0,0.434,51.8,0,7.9,2,3,4,5,12,4,Star Creators,0,0.050017303971731625
C100431,Comedy & Lifestyle,Spain,353,8,48.98330363316088,196.7097554763708,1284.7,14,129,0.1085,7,932.0,0.572,35.5,0,4.66,0,5,2,4,11,0,High-Reach Veterans,0,0.4153314022552885
C100432,Education/Talk,France,655,10,31.022894754182076,215.3638512233705,1113.5,104,1012,0.1028,8,1019.0,0.658,135.9,0,5.1,14,1,3,4,8,0,High-Reach Veterans,0,0.09868655308976881
C100433,Gaming,Germany,251,8,43.13517053078616,31.250466413875152,179.7,56,667,0.084,7,1034.0,0.285,69.7,0,5.17,0,5,2,4,11,3,Steady Core,0,0.5052575857909871
C100434,Gaming,Poland,115,7,59.5507929850116,36.617640819082496,254.4,21,164,0.128,2,211.0,0.322,12.9,0,1.06,5,2,1,1,4,1,At Risk / Dormant,0,0.07643369750167302
C100435,Comedy & Lifestyle,UK,539,14,29.835466142881952,58.041809584365375,404.1,6,202,0.0297,2,467.0,0.3,67.0,0,2.34,2,3,5,2,10,4,Star Creators,0,0.015719894616362605
C100436,Gaming,Spain,96,11,20.896591058992627,31.149270805000118,119.3,39,87,0.4483,4,774.0,0.11,33.5,0,3.87,0,5,4,3,12,2,Rising Talent,0,0.3696486817879651
C100437,Comedy & Lifestyle,France,302,8,37.74642844288185,205.53328456124677,1034.4,29,478,0.0607,6,330.0,0.412,12.4,0,1.65,0,5,2,2,9,3,Steady Core,0,0.19248765531997694
C100438,Comedy & Lifestyle,Italy,118,4,16.73022847080078,16.521692088138447,18.4,59,450,0.1311,2,440.0,0.12,62.3,0,2.2,3,2,1,2,5,1,At Risk / Dormant,0,0.21652789474637416
C100439,Gaming,UK,595,17,37.005926831682444,227.67105594584118,2387.1,113,4225,0.0267,14,1571.0,0.182,6.1,0,7.86,1,4,5,5,14,0,High-Reach Veterans,0,0.02294095271056257
C100440,Gaming,Germany,183,11,36.94852537235778,179.47752738443504,1215.8,69,776,0.0889,5,188.0,0.175,63.7,0,0.94,2,3,4,1,8,3,Steady Core,0,0.34919470143969894
C100441,Cooking & Food,France,349,12,5.0,117.6332632528818,117.6,61,1184,0.0515,5,262.0,0.345,16.2,0,1.31,3,2,4,1,7,1,At Risk / Dormant,0,0.07730830653138744
C100442,Music & Dance,Poland,666,8,55.84738569301795,188.4434958439294,1403.2,69,1189,0.058,17,2028.0,0.27,64.9,0,10.14,3,2,2,5,9,0,High-Reach Veterans,0,0.07549938065660786
C100443,Music & Dance,Poland,107,13,41.937549549714255,17.764515605962192,161.4,65,92,0.7065,3,918.0,0.249,51.1,0,4.59,3,2,5,4,11,2,Rising Talent,1,0.8626112602384609
C100444,Comedy & Lifestyle,Germany,635,11,60.63771381031588,27.709205286897646,308.0,281,6713,0.0419,10,1408.0,0.411,36.9,0,7.04,0,5,4,5,14,4,Star Creators,0,0.00787332959602112
C100445,Cooking & Food,Germany,610,8,36.321330712065674,114.47386369054016,554.4,61,428,0.1425,7,173.0,0.555,35.2,0,0.86,5,2,2,1,5,1,At Risk / Dormant,0,0.06912890931256717
C100446,Cooking & Food,Poland,407,9,43.73242212699656,56.569008854827196,371.1,105,2923,0.0359,2,190.0,0.499,62.1,0,0.95,1,4,2,1,7,3,Steady Core,0,0.291506792747789
C100447,Comedy & Lifestyle,Spain,34,8,60.77816849282149,14.846520247669611,120.3,11,50,0.22,2,260.0,0.435,100.3,0,1.3,0,5,2,1,8,3,Steady Core,1,0.8164007848164636
C100448,Music & Dance,Spain,543,12,42.93151688597045,188.32005874505177,1617.0,21,752,0.0279,9,329.0,0.402,46.7,0,1.64,0,5,4,2,11,0,High-Reach Veterans,0,0.013688083739337517
C100449,Gaming,France,64,5,41.98518260044977,69.79297448322005,244.2,12,50,0.24,2,243.0,0.47,98.7,0,1.22,1,4,1,1,6,3,Steady Core,1,0.8288473934368794
C100450,Comedy & Lifestyle,Italy,504,7,13.1063793965185,159.83334584509058,244.4,28,465,0.0602,5,3196.0,0.609,16.3,0,15.98,3,2,1,5,8,0,High-Reach Veterans,0,0.03948591921991089
C100451,Music & Dance,France,303,5,69.67098603206772,140.3759357735636,815.0,65,302,0.2152,4,1921.0,0.146,48.7,0,9.6,2,3,1,5,9,3,Steady Core,0,0.2172630196284437
C100452,Music & Dance,Italy,140,5,42.65890070542969,132.1401821947086,469.7,18,56,0.3214,3,292.0,0.396,43.1,0,1.46,0,5,1,1,7,3,Steady Core,1,0.8300436366328561
C100453,Cooking & Food,Germany,337,13,18.918339657541264,45.45242108178676,186.3,17,279,0.0609,4,133.0,0.56,27.8,0,0.66,0,5,5,1,11,3,Steady Core,0,0.09325899562870957
C100454,Gaming,UK,255,3,55.315004756773696,26.380624199283282,73.0,15,222,0.0676,0,928.0,0.429,17.5,0,4.64,0,5,1,4,10,3,Steady Core,0,0.10280698930493984
C100455,Music & Dance,France,556,10,5.0,310.63619446223794,258.9,81,3028,0.0268,9,806.0,0.239,35.7,0,4.03,2,3,3,3,9,0,High-Reach Veterans,0,0.022799923544509326
C100456,Gaming,France,81,9,34.27306398828279,12.866596879980984,66.1,38,50,0.76,5,738.0,0.327,14.8,0,3.69,6,1,2,3,6,2,Rising Talent,1,0.7696008331933257
C100457,Music & Dance,Italy,660,12,63.2120653036309,36.09779094865714,456.4,97,1127,0.0861,10,1323.0,0.45,39.0,0,6.62,3,2,4,4,10,4,Star Creators,0,0.024589611412366326
C100458,Gaming,Germany,174,7,34.1210066646137,36.15278901572425,143.9,48,90,0.5333,3,2505.0,0.141,73.1,0,12.52,6,1,1,5,7,2,Rising Talent,1,0.7980532620839886
C100459,Gaming,Germany,509,12,29.077404882925535,248.30409079463635,1444.0,40,486,0.0823,6,1279.0,0.094,22.6,0,6.4,1,4,4,4,12,0,High-Reach Veterans,0,0.03512312160559101
C100460,Gaming,Italy,361,9,34.509213651966895,53.81660510170438,278.6,152,3166,0.048,11,1159.0,0.325,51.0,0,5.8,0,5,2,4,11,3,Steady Core,0,0.31309352251576733
C100461,Education/Talk,Germany,231,11,5.336167136268534,17.94694896427763,17.6,26,121,0.2149,3,1043.0,0.514,13.9,0,5.22,6,1,4,4,9,1,At Risk / Dormant,0,0.09960128407364716
C100462,Comedy & Lifestyle,Poland,670,13,52.592002948257324,51.38301040589298,585.5,42,1160,0.0362,1,214.0,0.331,71.3,0,1.07,5,2,5,1,8,1,At Risk / Dormant,0,0.01985494745216112
C100463,Education/Talk,Spain,537,5,36.47238030738094,41.57732134680225,126.4,91,1716,0.053,6,1254.0,0.711,39.7,0,6.27,3,2,1,4,7,1,At Risk / Dormant,0,0.05989213252541685
C100464,Cooking & Food,Poland,152,4,29.36937430757464,52.59209375615142,103.0,21,88,0.2386,2,842.0,0.061,30.2,0,4.21,8,1,1,4,6,1,At Risk / Dormant,0,0.02287877670055691
C100465,Music & Dance,UK,247,8,40.260961980023694,40.473366316465714,217.3,22,247,0.0891,6,862.0,0.46,52.4,0,4.31,3,2,2,4,8,1,At Risk / Dormant,1,0.544740135762478
C100466,Beauty & Fashion,France,350,8,35.211196976968765,5.0,23.5,34,458,0.0742,5,776.0,0.293,29.8,0,3.88,2,3,2,3,8,3,Steady Core,0,0.06646129121564348
C100467,Comedy & Lifestyle,UK,41,8,51.52179464409315,233.81532627436798,1606.2,23,50,0.46,2,223.0,0.1,38.4,0,1.12,2,3,2,1,6,2,Rising Talent,1,0.7464180463489039
C100468,Beauty & Fashion,France,708,7,34.21904688201126,12.297821680057417,49.1,137,4824,0.0284,7,304.0,0.815,64.6,0,1.52,3,2,1,1,4,1,At Risk / Dormant,0,0.09936221162108942
C100469,Cooking & Food,Spain,7,9,13.846679188437676,8.07142680242327,16.8,4,50,0.08,0,207.0,0.31,35.3,0,1.03,2,3,2,1,6,3,Steady Core,0,0.1304088239525529
C100470,Gaming,Germany,159,13,52.359290187793206,97.86655082484636,1110.2,58,433,0.1339,6,255.0,0.277,31.4,0,1.28,1,4,5,1,10,3,Steady Core,0,0.23867628438890567
C100471,Cooking & Food,Poland,435,10,40.35461809681023,25.06115652258807,168.6,13,372,0.0349,7,362.0,0.438,77.2,0,1.81,12,1,3,2,6,1,At Risk / Dormant,0,0.4059539223656477
C100472,Gaming,Italy,514,11,45.69948596789629,153.9259478221644,1289.6,16,428,0.0374,15,1289.0,0.191,57.7,0,6.44,12,1,4,4,9,1,At Risk / Dormant,0,0.02079152464055453
C100473,Cooking & Food,Poland,132,10,48.57218862419879,59.803298895285174,484.1,31,136,0.2279,4,235.0,0.258,28.2,0,1.18,0,5,3,1,9,3,Steady Core,0,0.08253699212473893
C100474,Music & Dance,Spain,497,7,46.0923841900527,66.9868006201056,360.2,11,291,0.0378,3,1687.0,0.481,70.7,0,8.44,3,2,1,5,8,1,At Risk / Dormant,0,0.061453645086490385
C100475,Cooking & Food,UK,488,8,49.08710926809689,117.37163907340015,768.2,32,890,0.036,8,778.0,0.557,27.0,0,3.89,6,1,2,3,6,1,At Risk / Dormant,0,0.014061556786946075
